Date;Price;Vol.;Change %
3/9/2021;242.5;43.87M;-0.82%
3/8/2021;244.5;38.37M;-8.26%
3/5/2021;266.5;29.17M;0.07%
3/4/2021;266.31;32.94M;-6.66%
3/3/2021;285.3;21.17M;1.64%
3/2/2021;280.7;24.41M;-2.88%
3/1/2021;289.02;25.51M;3.22%
02/26/2021;280;28.90M;-3.08%
02/25/2021;288.9;24.90M;-1.43%
02/24/2021;293.08;41.72M;-6.96%
02/23/2021;315;27.87M;0.62%
02/22/2021;313.06;41.46M;-9.10%
02/19/2021;344.4;27.48M;3.27%
02/18/2021;333.5;34.38M;-2.67%
2/10/2021;342.65;33.19M;3.99%
2/9/2021;329.5;22.48M;2.97%
2/8/2021;320;26.65M;0.08%
2/5/2021;319.76;32.89M;1.96%
2/4/2021;313.6;28.06M;1.57%
2/3/2021;308.75;22.45M;1.52%
2/2/2021;304.12;29.75M;4.05%
2/1/2021;292.29;19.58M;0.39%
01/29/2021;291.14;22.01M;1.80%
01/28/2021;286;27.61M;-2.25%
01/27/2021;292.58;30.79M;-4.32%
01/26/2021;305.78;24.14M;-3.14%
01/25/2021;315.69;41.29M;6.81%
01/22/2021;295.56;24.95M;-0.47%
01/21/2021;296.95;29.40M;4.25%
01/20/2021;284.85;26.40M;1.19%
01/19/2021;281.5;29.39M;-1.07%
01/18/2021;284.55;27.26M;-1.09%
01/15/2021;287.7;41.71M;-0.59%
01/14/2021;289.4;35.49M;-5.22%
01/13/2021;305.33;23.37M;-1.51%
1/12/2021;310;23.03M;2.92%
1/11/2021;301.2;38.20M;-4.98%
1/8/2021;317;37.87M;-3.94%
1/7/2021;330;24.26M;0.52%
1/6/2021;328.3;31.34M;2.60%
1/5/2021;319.98;31.46M;7.36%
1/4/2021;298.05;23.43M;2.12%
12/31/2020;291.85;16.00M;1.73%
12/30/2020;286.88;16.88M;2.09%
12/29/2020;281;14.66M;-1.73%
12/28/2020;285.95;19.38M;3.64%
12/25/2020;275.92;11.11M;0.22%
12/24/2020;275.32;15.62M;-1.07%
12/23/2020;278.29;25.22M;-1.45%
12/22/2020;282.38;18.71M;0.17%
12/21/2020;281.91;16.19M;1.82%
12/18/2020;276.86;15.08M;-0.34%
12/17/2020;277.81;19.98M;1.27%
12/16/2020;274.33;16.03M;1.30%
12/15/2020;270.8;14.61M;-0.86%
12/14/2020;273.15;18.17M;2.10%
12/11/2020;267.52;15.01M;-0.06%
12/10/2020;267.67;13.41M;-0.76%
12/9/2020;269.72;11.68M;-0.84%
12/8/2020;272;14.78M;0.65%
12/7/2020;270.24;19.62M;1.14%
12/4/2020;267.19;17.05M;2.13%
12/3/2020;261.63;9.21M;0.41%
12/2/2020;260.55;11.64M;0.99%
12/1/2020;257.99;13.65M;1.57%
11/30/2020;254;21.17M;-3.16%
11/27/2020;262.3;11.26M;0.66%
11/26/2020;260.58;19.91M;-0.91%
11/25/2020;262.97;16.56M;-3.25%
11/24/2020;271.79;12.50M;-0.29%
11/23/2020;272.58;15.63M;1.53%
11/20/2020;268.47;11.12M;1.42%
11/19/2020;264.7;12.45M;0.37%
11/18/2020;263.72;19.46M;-2.00%
11/17/2020;269.1;17.95M;-1.43%
11/16/2020;273;19.58M;3.02%
11/13/2020;265;18.84M;-0.99%
11/12/2020;267.65;17.62M;-0.46%
11/11/2020;268.9;22.79M;-1.43%
11/10/2020;272.8;22.31M;1.04%
